"GEO_ID","NAME","B17018_001E","B17018_001M","B17018_002E","B17018_002M","B17018_003E","B17018_003M","B17018_004E","B17018_004M","B17018_005E","B17018_005M","B17018_006E","B17018_006M","B17018_007E","B17018_007M","B17018_008E","B17018_008M","B17018_009E","B17018_009M","B17018_010E","B17018_010M","B17018_011E","B17018_011M","B17018_012E","B17018_012M","B17018_013E","B17018_013M","B17018_014E","B17018_014M","B17018_015E","B17018_015M","B17018_016E","B17018_016M","B17018_017E","B17018_017M","B17018_018E","B17018_018M","B17018_019E","B17018_019M","B17018_020E","B17018_020M","B17018_021E","B17018_021M","B17018_022E","B17018_022M","B17018_023E","B17018_023M","B17018_024E","B17018_024M","B17018_025E","B17018_025M","B17018_026E","B17018_026M","B17018_027E","B17018_027M","B17018_028E","B17018_028M","B17018_029E","B17018_029M","B17018_030E","B17018_030M","B17018_031E","B17018_031M","B17018_032E","B17018_032M","B17018_033E","B17018_033M","B17018_034E","B17018_034M","B17018_035E","B17018_035M",
"860Z200US24317","ZCTA5 24317","1038","196","147","97","94","79","54","68","0","13","30","34","10","17","53","55","0","13","0","13","0","13","0","13","0","13","53","55","28","45","0","13","11","18","14","22","891","197","831","186","52","44","270","120","336","111","173","134","60","57","24","39","0","13","0","13","24","39","0","13","36","44","15","24","21","28","0","13","0","13",
"860Z200US24318","ZCTA5 24318","157","58","14","19","14","19","0","13","14","19","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","143","58","121","51","0","13","44","38","49","34","28","27","22","28","18","26","0","13","18","26","0","13","0","13","4","6","4","6","0","13","0","13","0","13",
"860Z200US24319","ZCTA5 24319","1920","231","187","98","76","66","3","6","0","19","66","64","7","11","111","69","0","19","0","19","0","19","0","19","0","19","111","69","55","56","51","44","5","7","0","19","1733","222","1254","158","68","40","485","125","420","110","281","88","479","132","97","54","23","23","4","7","54","44","16","19","382","127","21","20","145","97","94","63","122","66",
"860Z200US24322","ZCTA5 24322","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24323","ZCTA5 24323","317","101","10","16","0","13","0","13","0","13","0","13","0","13","10","16","0","13","0","13","0","13","0","13","0","13","10","16","0","13","0","13","10","16","0","13","307","100","255","89","0","13","89","47","95","75","71","46","52","43","52","43","0","13","0","13","36","50","16","23","0","13","0","13","0","13","0","13","0","13",
"860Z200US24324","ZCTA5 24324","498","179","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","498","179","462","180","23","30","87","58","269","168","83","65","36","48","6","12","0","13","0","13","6","12","0","13","30","45","30","45","0","13","0","13","0","13",
"860Z200US24325","ZCTA5 24325","298","121","33","39","15","24","0","13","15","24","0","13","0","13","18","29","0","13","0","13","0","13","0","13","0","13","18","29","0","13","0","13","18","29","0","13","265","117","226","107","17","20","54","60","97","77","58","60","39","44","17","19","0","13","11","18","0","13","6","9","22","41","0","13","0","13","22","41","0","13",
"860Z200US24326","ZCTA5 24326","226","66","10","16","10","16","0","13","0","13","10","16","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","216","65","173","62","18","19","35","27","68","40","52","35","43","31","0","13","0","13","0","13","0","13","0","13","43","31","34","29","9","13","0","13","0","13",
"860Z200US24327","ZCTA5 24327","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US24328","ZCTA5 24328","504","169","39","40","0","13","0","13","0","13","0","13","0","13","39","40","0","13","0","13","0","13","0","13","0","13","39","40","0","13","0","13","39","40","0","13","465","177","436","170","32","41","96","62","192","149","116","71","29","39","14","34","0","13","0","13","14","34","0","13","15","20","0","13","0","13","11","18","4","7",
"860Z200US24330","ZCTA5 24330","882","178","138","80","50","52","14","26","24","44","12","17","0","13","88","73","6","10","6","10","0","13","0","13","0","13","82","71","0","13","74","70","3","9","5","8","744","184","642","170","38","32","250","99","265","123","89","56","102","56","67","44","17","18","45","43","5","10","0","13","35","28","5","10","15","18","0","13","15","19",
"860Z200US24333","ZCTA5 24333","4928","349","765","214","368","156","63","51","188","111","101","81","16","29","397","159","80","74","60","83","0","21","20","31","0","21","317","135","28","29","65","69","153","94","71","67","4163","399","3397","366","461","121","698","177","1552","323","686","155","766","217","255","115","113","91","70","52","55","55","17","19","511","161","97","69","74","79","283","128","57","39",
"860Z200US24340","ZCTA5 24340","1600","278","123","54","24","22","20","21","4","7","0","19","0","19","99","52","17","18","17","18","0","19","0","19","0","19","82","50","6","7","38","36","38","33","0","19","1477","278","1126","258","87","61","368","118","292","84","379","221","351","96","127","74","36","31","64","56","3","5","24","38","224","61","41","30","56","42","62","34","65","32",
"860Z200US24343","ZCTA5 24343","2152","216","155","92","67","55","22","28","36","41","9","15","0","19","88","82","17","31","0","19","0","19","17","31","0","19","71","74","0","19","39","53","32","53","0","19","1997","229","1528","243","252","117","468","151","371","142","437","146","469","153","157","90","18","27","49","47","90","74","0","19","312","125","73","68","58","70","160","89","21","32",
